Model,Group,Axis Name,mean
deepseek/deepseek-v3.2,Hardline-Principlists,Economic Costs,20.0
deepseek/deepseek-v3.2,Hardline-Principlists,Negotiation Readiness,25.0
deepseek/deepseek-v3.2,Hardline-Principlists,Nuclear Sovereignty,100.0
deepseek/deepseek-v3.2,Hardline-Principlists,Security Function,90.9
deepseek/deepseek-v3.2,IRGC/Securocrats,Economic Costs,47.9
deepseek/deepseek-v3.2,IRGC/Securocrats,Negotiation Readiness,29.5
deepseek/deepseek-v3.2,IRGC/Securocrats,Nuclear Sovereignty,97.9
deepseek/deepseek-v3.2,IRGC/Securocrats,Security Function,88.6
deepseek/deepseek-v3.2,Pragmatic Moderates,Economic Costs,77.1
deepseek/deepseek-v3.2,Pragmatic Moderates,Negotiation Readiness,85.4
deepseek/deepseek-v3.2,Pragmatic Moderates,Nuclear Sovereignty,85.4
deepseek/deepseek-v3.2,Pragmatic Moderates,Security Function,47.7
deepseek/deepseek-v3.2,Reformists,Economic Costs,62.5
deepseek/deepseek-v3.2,Reformists,Negotiation Readiness,72.7
deepseek/deepseek-v3.2,Reformists,Nuclear Sovereignty,58.3
deepseek/deepseek-v3.2,Reformists,Security Function,42.5
mistralai/mistral-large,Hardline-Principlists,Economic Costs,47.5
mistralai/mistral-large,Hardline-Principlists,Negotiation Readiness,15.0
mistralai/mistral-large,Hardline-Principlists,Nuclear Sovereignty,85.4
mistralai/mistral-large,Hardline-Principlists,Security Function,68.2
mistralai/mistral-large,IRGC/Securocrats,Economic Costs,62.5
mistralai/mistral-large,IRGC/Securocrats,Negotiation Readiness,47.7
mistralai/mistral-large,IRGC/Securocrats,Nuclear Sovereignty,65.9
mistralai/mistral-large,IRGC/Securocrats,Security Function,68.2
mistralai/mistral-large,Pragmatic Moderates,Economic Costs,56.2
mistralai/mistral-large,Pragmatic Moderates,Negotiation Readiness,66.7
mistralai/mistral-large,Pragmatic Moderates,Nuclear Sovereignty,62.5
mistralai/mistral-large,Pragmatic Moderates,Security Function,58.3
mistralai/mistral-large,Reformists,Economic Costs,58.3
mistralai/mistral-large,Reformists,Negotiation Readiness,58.3
mistralai/mistral-large,Reformists,Nuclear Sovereignty,58.3
mistralai/mistral-large,Reformists,Security Function,58.3
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Economic Costs,37.5
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Negotiation Readiness,55.0
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Nuclear Sovereignty,100.0
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Security Function,89.3
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Economic Costs,54.2
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Negotiation Readiness,45.0
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Nuclear Sovereignty,100.0
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Security Function,85.7
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Economic Costs,67.9
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Negotiation Readiness,81.2
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Nuclear Sovereignty,68.8
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Security Function,66.7
qwen/qwen-2.5-72b-instruct,Reformists,Economic Costs,75.0
qwen/qwen-2.5-72b-instruct,Reformists,Negotiation Readiness,79.2
qwen/qwen-2.5-72b-instruct,Reformists,Nuclear Sovereignty,81.2
qwen/qwen-2.5-72b-instruct,Reformists,Security Function,58.3
