Model,Group,Axis Name,mean
deepseek/deepseek-v3.2,Hardline-Principlists,Economic Costs,37.5
deepseek/deepseek-v3.2,Hardline-Principlists,Negotiation Readiness,15.9
deepseek/deepseek-v3.2,Hardline-Principlists,Nuclear Sovereignty,97.9
deepseek/deepseek-v3.2,Hardline-Principlists,Security Function,100.0
deepseek/deepseek-v3.2,IRGC/Securocrats,Economic Costs,20.5
deepseek/deepseek-v3.2,IRGC/Securocrats,Negotiation Readiness,33.3
deepseek/deepseek-v3.2,IRGC/Securocrats,Nuclear Sovereignty,93.2
deepseek/deepseek-v3.2,IRGC/Securocrats,Security Function,84.1
deepseek/deepseek-v3.2,Pragmatic Moderates,Economic Costs,62.5
deepseek/deepseek-v3.2,Pragmatic Moderates,Negotiation Readiness,84.1
deepseek/deepseek-v3.2,Pragmatic Moderates,Nuclear Sovereignty,75.0
deepseek/deepseek-v3.2,Pragmatic Moderates,Security Function,63.6
deepseek/deepseek-v3.2,Reformists,Economic Costs,64.6
deepseek/deepseek-v3.2,Reformists,Negotiation Readiness,62.5
deepseek/deepseek-v3.2,Reformists,Nuclear Sovereignty,66.7
deepseek/deepseek-v3.2,Reformists,Security Function,58.3
mistralai/mistral-large,Hardline-Principlists,Economic Costs,52.8
mistralai/mistral-large,Hardline-Principlists,Negotiation Readiness,36.1
mistralai/mistral-large,Hardline-Principlists,Nuclear Sovereignty,88.6
mistralai/mistral-large,Hardline-Principlists,Security Function,84.1
mistralai/mistral-large,IRGC/Securocrats,Economic Costs,45.8
mistralai/mistral-large,IRGC/Securocrats,Negotiation Readiness,45.8
mistralai/mistral-large,IRGC/Securocrats,Nuclear Sovereignty,85.4
mistralai/mistral-large,IRGC/Securocrats,Security Function,68.2
mistralai/mistral-large,Pragmatic Moderates,Economic Costs,54.2
mistralai/mistral-large,Pragmatic Moderates,Negotiation Readiness,66.7
mistralai/mistral-large,Pragmatic Moderates,Nuclear Sovereignty,62.5
mistralai/mistral-large,Pragmatic Moderates,Security Function,62.5
mistralai/mistral-large,Reformists,Economic Costs,54.2
mistralai/mistral-large,Reformists,Negotiation Readiness,62.5
mistralai/mistral-large,Reformists,Nuclear Sovereignty,58.3
mistralai/mistral-large,Reformists,Security Function,62.5
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Economic Costs,64.6
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Negotiation Readiness,20.8
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Nuclear Sovereignty,97.7
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Security Function,81.8
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Economic Costs,58.3
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Negotiation Readiness,45.5
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Nuclear Sovereignty,95.8
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Security Function,79.5
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Economic Costs,62.5
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Negotiation Readiness,65.9
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Nuclear Sovereignty,60.4
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Security Function,70.8
qwen/qwen-2.5-72b-instruct,Reformists,Economic Costs,62.5
qwen/qwen-2.5-72b-instruct,Reformists,Negotiation Readiness,72.9
qwen/qwen-2.5-72b-instruct,Reformists,Nuclear Sovereignty,58.3
qwen/qwen-2.5-72b-instruct,Reformists,Security Function,68.8
