Model,Group,Axis Name,mean
deepseek/deepseek-v3.2,Hardline-Principlists,Economic Costs,31.2
deepseek/deepseek-v3.2,Hardline-Principlists,Negotiation Readiness,14.6
deepseek/deepseek-v3.2,Hardline-Principlists,Nuclear Sovereignty,89.6
deepseek/deepseek-v3.2,Hardline-Principlists,Security Function,95.8
deepseek/deepseek-v3.2,IRGC/Securocrats,Economic Costs,43.8
deepseek/deepseek-v3.2,IRGC/Securocrats,Negotiation Readiness,29.2
deepseek/deepseek-v3.2,IRGC/Securocrats,Nuclear Sovereignty,93.8
deepseek/deepseek-v3.2,IRGC/Securocrats,Security Function,89.6
deepseek/deepseek-v3.2,Pragmatic Moderates,Economic Costs,66.7
deepseek/deepseek-v3.2,Pragmatic Moderates,Negotiation Readiness,77.1
deepseek/deepseek-v3.2,Pragmatic Moderates,Nuclear Sovereignty,87.5
deepseek/deepseek-v3.2,Pragmatic Moderates,Security Function,68.8
deepseek/deepseek-v3.2,Reformists,Economic Costs,72.9
deepseek/deepseek-v3.2,Reformists,Negotiation Readiness,79.2
deepseek/deepseek-v3.2,Reformists,Nuclear Sovereignty,75.0
deepseek/deepseek-v3.2,Reformists,Security Function,77.1
mistralai/mistral-large,Hardline-Principlists,Economic Costs,16.7
mistralai/mistral-large,Hardline-Principlists,Negotiation Readiness,22.9
mistralai/mistral-large,Hardline-Principlists,Nuclear Sovereignty,100.0
mistralai/mistral-large,Hardline-Principlists,Security Function,100.0
mistralai/mistral-large,IRGC/Securocrats,Economic Costs,31.2
mistralai/mistral-large,IRGC/Securocrats,Negotiation Readiness,33.3
mistralai/mistral-large,IRGC/Securocrats,Nuclear Sovereignty,91.7
mistralai/mistral-large,IRGC/Securocrats,Security Function,91.7
mistralai/mistral-large,Pragmatic Moderates,Economic Costs,64.6
mistralai/mistral-large,Pragmatic Moderates,Negotiation Readiness,89.6
mistralai/mistral-large,Pragmatic Moderates,Nuclear Sovereignty,62.5
mistralai/mistral-large,Pragmatic Moderates,Security Function,62.5
mistralai/mistral-large,Reformists,Economic Costs,62.5
mistralai/mistral-large,Reformists,Negotiation Readiness,79.2
mistralai/mistral-large,Reformists,Nuclear Sovereignty,62.5
mistralai/mistral-large,Reformists,Security Function,33.3
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Economic Costs,55.0
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Negotiation Readiness,18.2
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Nuclear Sovereignty,91.7
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Security Function,100.0
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Economic Costs,71.9
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Negotiation Readiness,28.6
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Nuclear Sovereignty,96.9
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Security Function,100.0
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Economic Costs,67.9
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Negotiation Readiness,96.4
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Nuclear Sovereignty,58.3
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Security Function,65.0
qwen/qwen-2.5-72b-instruct,Reformists,Economic Costs,78.6
qwen/qwen-2.5-72b-instruct,Reformists,Negotiation Readiness,75.0
qwen/qwen-2.5-72b-instruct,Reformists,Nuclear Sovereignty,54.2
qwen/qwen-2.5-72b-instruct,Reformists,Security Function,50.0
