Model,Group,Axis Name,mean
deepseek/deepseek-v3.2,Hardline-Principlists,Economic Costs,25.0
deepseek/deepseek-v3.2,Hardline-Principlists,Negotiation Readiness,25.0
deepseek/deepseek-v3.2,Hardline-Principlists,Nuclear Sovereignty,97.9
deepseek/deepseek-v3.2,Hardline-Principlists,Security Function,91.7
deepseek/deepseek-v3.2,IRGC/Securocrats,Economic Costs,47.9
deepseek/deepseek-v3.2,IRGC/Securocrats,Negotiation Readiness,22.9
deepseek/deepseek-v3.2,IRGC/Securocrats,Nuclear Sovereignty,91.7
deepseek/deepseek-v3.2,IRGC/Securocrats,Security Function,91.7
deepseek/deepseek-v3.2,Pragmatic Moderates,Economic Costs,75.0
deepseek/deepseek-v3.2,Pragmatic Moderates,Negotiation Readiness,85.4
deepseek/deepseek-v3.2,Pragmatic Moderates,Nuclear Sovereignty,70.8
deepseek/deepseek-v3.2,Pragmatic Moderates,Security Function,68.8
deepseek/deepseek-v3.2,Reformists,Economic Costs,72.9
deepseek/deepseek-v3.2,Reformists,Negotiation Readiness,72.9
deepseek/deepseek-v3.2,Reformists,Nuclear Sovereignty,83.3
deepseek/deepseek-v3.2,Reformists,Security Function,79.2
mistralai/mistral-large,Hardline-Principlists,Economic Costs,14.6
mistralai/mistral-large,Hardline-Principlists,Negotiation Readiness,6.2
mistralai/mistral-large,Hardline-Principlists,Nuclear Sovereignty,100.0
mistralai/mistral-large,Hardline-Principlists,Security Function,93.8
mistralai/mistral-large,IRGC/Securocrats,Economic Costs,35.4
mistralai/mistral-large,IRGC/Securocrats,Negotiation Readiness,27.1
mistralai/mistral-large,IRGC/Securocrats,Nuclear Sovereignty,91.7
mistralai/mistral-large,IRGC/Securocrats,Security Function,91.7
mistralai/mistral-large,Pragmatic Moderates,Economic Costs,64.6
mistralai/mistral-large,Pragmatic Moderates,Negotiation Readiness,81.2
mistralai/mistral-large,Pragmatic Moderates,Nuclear Sovereignty,62.5
mistralai/mistral-large,Pragmatic Moderates,Security Function,62.5
mistralai/mistral-large,Reformists,Economic Costs,70.8
mistralai/mistral-large,Reformists,Negotiation Readiness,79.2
mistralai/mistral-large,Reformists,Nuclear Sovereignty,62.5
mistralai/mistral-large,Reformists,Security Function,37.5
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Economic Costs,37.5
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Negotiation Readiness,20.0
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Nuclear Sovereignty,100.0
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Security Function,100.0
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Economic Costs,37.5
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Negotiation Readiness,25.0
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Nuclear Sovereignty,100.0
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Security Function,100.0
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Economic Costs,68.2
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Negotiation Readiness,85.4
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Nuclear Sovereignty,59.1
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Security Function,62.5
qwen/qwen-2.5-72b-instruct,Reformists,Economic Costs,81.2
qwen/qwen-2.5-72b-instruct,Reformists,Negotiation Readiness,93.2
qwen/qwen-2.5-72b-instruct,Reformists,Nuclear Sovereignty,60.4
qwen/qwen-2.5-72b-instruct,Reformists,Security Function,50.0
