Model,Group,Axis Name,mean
deepseek/deepseek-v3.2,Hardline-Principlists,Economic Costs,27.1
deepseek/deepseek-v3.2,Hardline-Principlists,Negotiation Readiness,20.8
deepseek/deepseek-v3.2,Hardline-Principlists,Nuclear Sovereignty,97.9
deepseek/deepseek-v3.2,Hardline-Principlists,Security Function,89.6
deepseek/deepseek-v3.2,IRGC/Securocrats,Economic Costs,47.7
deepseek/deepseek-v3.2,IRGC/Securocrats,Negotiation Readiness,33.3
deepseek/deepseek-v3.2,IRGC/Securocrats,Nuclear Sovereignty,91.7
deepseek/deepseek-v3.2,IRGC/Securocrats,Security Function,97.9
deepseek/deepseek-v3.2,Pragmatic Moderates,Economic Costs,81.2
deepseek/deepseek-v3.2,Pragmatic Moderates,Negotiation Readiness,70.8
deepseek/deepseek-v3.2,Pragmatic Moderates,Nuclear Sovereignty,75.0
deepseek/deepseek-v3.2,Pragmatic Moderates,Security Function,77.1
deepseek/deepseek-v3.2,Reformists,Economic Costs,70.8
deepseek/deepseek-v3.2,Reformists,Negotiation Readiness,70.8
deepseek/deepseek-v3.2,Reformists,Nuclear Sovereignty,72.9
deepseek/deepseek-v3.2,Reformists,Security Function,56.2
mistralai/mistral-large,Hardline-Principlists,Economic Costs,27.8
mistralai/mistral-large,Hardline-Principlists,Negotiation Readiness,6.2
mistralai/mistral-large,Hardline-Principlists,Nuclear Sovereignty,100.0
mistralai/mistral-large,Hardline-Principlists,Security Function,100.0
mistralai/mistral-large,IRGC/Securocrats,Economic Costs,44.4
mistralai/mistral-large,IRGC/Securocrats,Negotiation Readiness,28.6
mistralai/mistral-large,IRGC/Securocrats,Nuclear Sovereignty,100.0
mistralai/mistral-large,IRGC/Securocrats,Security Function,100.0
mistralai/mistral-large,Pragmatic Moderates,Economic Costs,50.0
mistralai/mistral-large,Pragmatic Moderates,Negotiation Readiness,72.2
mistralai/mistral-large,Pragmatic Moderates,Nuclear Sovereignty,55.0
mistralai/mistral-large,Pragmatic Moderates,Security Function,58.3
mistralai/mistral-large,Reformists,Economic Costs,54.5
mistralai/mistral-large,Reformists,Negotiation Readiness,61.1
mistralai/mistral-large,Reformists,Nuclear Sovereignty,61.4
mistralai/mistral-large,Reformists,Security Function,43.8
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Economic Costs,40.0
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Negotiation Readiness,18.8
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Nuclear Sovereignty,81.2
qwen/qwen-2.5-72b-instruct,Hardline-Principlists,Security Function,72.7
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Economic Costs,55.6
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Negotiation Readiness,41.7
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Nuclear Sovereignty,83.3
qwen/qwen-2.5-72b-instruct,IRGC/Securocrats,Security Function,72.9
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Economic Costs,65.0
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Negotiation Readiness,64.6
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Nuclear Sovereignty,59.1
qwen/qwen-2.5-72b-instruct,Pragmatic Moderates,Security Function,55.0
qwen/qwen-2.5-72b-instruct,Reformists,Economic Costs,71.9
qwen/qwen-2.5-72b-instruct,Reformists,Negotiation Readiness,70.0
qwen/qwen-2.5-72b-instruct,Reformists,Nuclear Sovereignty,62.5
qwen/qwen-2.5-72b-instruct,Reformists,Security Function,47.2
