Test,Gruppe 1,Gruppe 2,Statistik,p-Wert,Signifikant (alpha=0.05)
Kruskal-Wallis,alle,-,76.8857,0.0,Ja
Mann-Whitney-U,Hardline-Principlists,IRGC/Securocrats,2718284.5,0.0005,Ja
Mann-Whitney-U,Hardline-Principlists,Pragmatic Moderates,2526112.5,0.0,Ja
Mann-Whitney-U,Hardline-Principlists,Reformists,2582101.5,0.0,Ja
Mann-Whitney-U,IRGC/Securocrats,Pragmatic Moderates,2662069.5,0.0,Ja
Mann-Whitney-U,IRGC/Securocrats,Reformists,2732276.5,0.0016,Ja
Mann-Whitney-U,Pragmatic Moderates,Reformists,2995132.5,0.0092,Nein
