Test,Gruppe 1,Gruppe 2,Statistik,p-Wert,Signifikant (α=0.05)
Kruskal-Wallis,alle,-,116.0933,0.0,Ja
Mann-Whitney-U,Hardline-Principlists,IRGC/Securocrats,2668310.5,0.0,Ja
Mann-Whitney-U,Hardline-Principlists,Pragmatic Moderates,2433937.5,0.0,Ja
Mann-Whitney-U,Hardline-Principlists,Reformists,2582180.0,0.0,Ja
Mann-Whitney-U,IRGC/Securocrats,Pragmatic Moderates,2594725.0,0.0,Ja
Mann-Whitney-U,IRGC/Securocrats,Reformists,2780020.0,0.0506,Nein
Mann-Whitney-U,Pragmatic Moderates,Reformists,3126518.0,0.0,Ja
