Model,Group,Axis Name,mean,sd,n
x-ai/grok-4.3,Hardline-Principlists,Nuclear Sovereignty,94.83,21.14,121
x-ai/grok-4.3,Hardline-Principlists,Security Function,92.5,25.85,120
x-ai/grok-4.3,IRGC/Securocrats,Economic Costs,12.82,27.01,119
x-ai/grok-4.3,IRGC/Securocrats,Negotiation Readiness,15.21,30.63,120
x-ai/grok-4.3,IRGC/Securocrats,Nuclear Sovereignty,97.69,14.55,119
x-ai/grok-4.3,IRGC/Securocrats,Security Function,94.96,21.97,119
x-ai/grok-4.3,Pragmatic Moderates,Economic Costs,93.96,19.98,120
x-ai/grok-4.3,Pragmatic Moderates,Negotiation Readiness,94.17,18.26,120
x-ai/grok-4.3,Pragmatic Moderates,Nuclear Sovereignty,53.54,41.67,120
x-ai/grok-4.3,Pragmatic Moderates,Security Function,16.46,26.63,120
x-ai/grok-4.3,Reformists,Economic Costs,88.84,26.21,121
x-ai/grok-4.3,Reformists,Negotiation Readiness,91.25,24.18,120
x-ai/grok-4.3,Reformists,Nuclear Sovereignty,56.46,42.07,120
x-ai/grok-4.3,Reformists,Security Function,14.38,26.26,120
