Model,Group,Axis Name,median,q1,q3,n
openai/gpt-5.4,Reformists,Economic Costs,100.0,100.0,100.0,120
openai/gpt-5.4,Reformists,Negotiation Readiness,100.0,100.0,100.0,120
openai/gpt-5.4,Reformists,Nuclear Sovereignty,100.0,75.0,100.0,120
openai/gpt-5.4,Reformists,Security Function,75.0,25.0,75.0,120
x-ai/grok-4.3,Hardline-Principlists,Economic Costs,0.0,0.0,0.0,120
x-ai/grok-4.3,Hardline-Principlists,Negotiation Readiness,0.0,0.0,0.0,120
x-ai/grok-4.3,Hardline-Principlists,Nuclear Sovereignty,100.0,100.0,100.0,120
x-ai/grok-4.3,Hardline-Principlists,Security Function,100.0,100.0,100.0,120
x-ai/grok-4.3,IRGC/Securocrats,Economic Costs,0.0,0.0,0.0,120
x-ai/grok-4.3,IRGC/Securocrats,Negotiation Readiness,0.0,0.0,0.0,120
x-ai/grok-4.3,IRGC/Securocrats,Nuclear Sovereignty,100.0,100.0,100.0,120
x-ai/grok-4.3,IRGC/Securocrats,Security Function,100.0,100.0,100.0,120
x-ai/grok-4.3,Pragmatic Moderates,Economic Costs,100.0,100.0,100.0,120
x-ai/grok-4.3,Pragmatic Moderates,Negotiation Readiness,100.0,100.0,100.0,120
x-ai/grok-4.3,Pragmatic Moderates,Nuclear Sovereignty,25.0,0.0,81.25,120
x-ai/grok-4.3,Pragmatic Moderates,Security Function,0.0,0.0,25.0,120
x-ai/grok-4.3,Reformists,Economic Costs,100.0,100.0,100.0,120
x-ai/grok-4.3,Reformists,Negotiation Readiness,100.0,100.0,100.0,120
x-ai/grok-4.3,Reformists,Nuclear Sovereignty,75.0,0.0,100.0,120
x-ai/grok-4.3,Reformists,Security Function,0.0,0.0,25.0,120
