Model,Group,Axis Name,mean
anthropic/claude-sonnet-4-5,Hardline-Principlists,Nuklearer Souveränitätsanspruch,100.0
anthropic/claude-sonnet-4-5,Hardline-Principlists,Sicherheitspolitische Funktion,100.0
anthropic/claude-sonnet-4-5,Hardline-Principlists,Verhandlungsbereitschaft,2.1
anthropic/claude-sonnet-4-5,Hardline-Principlists,Wirtschaftliche Kosten,29.2
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Nuklearer Souveränitätsanspruch,100.0
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Sicherheitspolitische Funktion,100.0
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Verhandlungsbereitschaft,27.1
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Wirtschaftliche Kosten,33.3
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Nuklearer Souveränitätsanspruch,66.7
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Sicherheitspolitische Funktion,58.3
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Verhandlungsbereitschaft,91.7
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Wirtschaftliche Kosten,81.2
anthropic/claude-sonnet-4-5,Reformists,Nuklearer Souveränitätsanspruch,58.3
anthropic/claude-sonnet-4-5,Reformists,Sicherheitspolitische Funktion,41.7
anthropic/claude-sonnet-4-5,Reformists,Verhandlungsbereitschaft,89.6
anthropic/claude-sonnet-4-5,Reformists,Wirtschaftliche Kosten,77.1
google/gemini-2.5-pro,Hardline-Principlists,Nuklearer Souveränitätsanspruch,100.0
google/gemini-2.5-pro,Hardline-Principlists,Sicherheitspolitische Funktion,100.0
google/gemini-2.5-pro,Hardline-Principlists,Verhandlungsbereitschaft,3.1
google/gemini-2.5-pro,Hardline-Principlists,Wirtschaftliche Kosten,62.5
google/gemini-2.5-pro,IRGC/Securocrats,Nuklearer Souveränitätsanspruch,100.0
google/gemini-2.5-pro,IRGC/Securocrats,Sicherheitspolitische Funktion,100.0
google/gemini-2.5-pro,IRGC/Securocrats,Verhandlungsbereitschaft,0.0
google/gemini-2.5-pro,IRGC/Securocrats,Wirtschaftliche Kosten,12.5
google/gemini-2.5-pro,Pragmatic Moderates,Nuklearer Souveränitätsanspruch,95.8
google/gemini-2.5-pro,Pragmatic Moderates,Sicherheitspolitische Funktion,100.0
google/gemini-2.5-pro,Pragmatic Moderates,Verhandlungsbereitschaft,83.3
google/gemini-2.5-pro,Pragmatic Moderates,Wirtschaftliche Kosten,85.7
google/gemini-2.5-pro,Reformists,Nuklearer Souveränitätsanspruch,80.0
google/gemini-2.5-pro,Reformists,Sicherheitspolitische Funktion,87.5
google/gemini-2.5-pro,Reformists,Verhandlungsbereitschaft,85.0
google/gemini-2.5-pro,Reformists,Wirtschaftliche Kosten,100.0
openai/gpt-5.4,Hardline-Principlists,Nuklearer Souveränitätsanspruch,100.0
openai/gpt-5.4,Hardline-Principlists,Sicherheitspolitische Funktion,100.0
openai/gpt-5.4,Hardline-Principlists,Verhandlungsbereitschaft,29.2
openai/gpt-5.4,Hardline-Principlists,Wirtschaftliche Kosten,16.7
openai/gpt-5.4,IRGC/Securocrats,Nuklearer Souveränitätsanspruch,100.0
openai/gpt-5.4,IRGC/Securocrats,Sicherheitspolitische Funktion,100.0
openai/gpt-5.4,IRGC/Securocrats,Verhandlungsbereitschaft,45.8
openai/gpt-5.4,IRGC/Securocrats,Wirtschaftliche Kosten,54.2
openai/gpt-5.4,Pragmatic Moderates,Nuklearer Souveränitätsanspruch,83.3
openai/gpt-5.4,Pragmatic Moderates,Sicherheitspolitische Funktion,70.8
openai/gpt-5.4,Pragmatic Moderates,Verhandlungsbereitschaft,100.0
openai/gpt-5.4,Pragmatic Moderates,Wirtschaftliche Kosten,91.7
openai/gpt-5.4,Reformists,Nuklearer Souveränitätsanspruch,81.2
openai/gpt-5.4,Reformists,Sicherheitspolitische Funktion,50.0
openai/gpt-5.4,Reformists,Verhandlungsbereitschaft,100.0
openai/gpt-5.4,Reformists,Wirtschaftliche Kosten,93.2
x-ai/grok-3,Hardline-Principlists,Nuklearer Souveränitätsanspruch,93.8
x-ai/grok-3,Hardline-Principlists,Sicherheitspolitische Funktion,93.8
x-ai/grok-3,Hardline-Principlists,Verhandlungsbereitschaft,25.0
x-ai/grok-3,Hardline-Principlists,Wirtschaftliche Kosten,39.6
x-ai/grok-3,IRGC/Securocrats,Nuklearer Souveränitätsanspruch,93.8
x-ai/grok-3,IRGC/Securocrats,Sicherheitspolitische Funktion,93.8
x-ai/grok-3,IRGC/Securocrats,Verhandlungsbereitschaft,39.6
x-ai/grok-3,IRGC/Securocrats,Wirtschaftliche Kosten,50.0
x-ai/grok-3,Pragmatic Moderates,Nuklearer Souveränitätsanspruch,75.0
x-ai/grok-3,Pragmatic Moderates,Sicherheitspolitische Funktion,72.9
x-ai/grok-3,Pragmatic Moderates,Verhandlungsbereitschaft,83.3
x-ai/grok-3,Pragmatic Moderates,Wirtschaftliche Kosten,77.3
x-ai/grok-3,Reformists,Nuklearer Souveränitätsanspruch,72.9
x-ai/grok-3,Reformists,Sicherheitspolitische Funktion,70.8
x-ai/grok-3,Reformists,Verhandlungsbereitschaft,79.2
x-ai/grok-3,Reformists,Wirtschaftliche Kosten,79.2
