Model,Group,Axis Name,mean
anthropic/claude-sonnet-4-5,Hardline-Principlists,Economic Costs,29.2
anthropic/claude-sonnet-4-5,Hardline-Principlists,Negotiation Readiness,2.1
anthropic/claude-sonnet-4-5,Hardline-Principlists,Nuclear Sovereignty,100.0
anthropic/claude-sonnet-4-5,Hardline-Principlists,Security Function,100.0
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Economic Costs,33.3
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Negotiation Readiness,27.1
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Nuclear Sovereignty,100.0
anthropic/claude-sonnet-4-5,IRGC/Securocrats,Security Function,100.0
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Economic Costs,81.2
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Negotiation Readiness,91.7
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Nuclear Sovereignty,66.7
anthropic/claude-sonnet-4-5,Pragmatic Moderates,Security Function,58.3
anthropic/claude-sonnet-4-5,Reformists,Economic Costs,77.1
anthropic/claude-sonnet-4-5,Reformists,Negotiation Readiness,89.6
anthropic/claude-sonnet-4-5,Reformists,Nuclear Sovereignty,58.3
anthropic/claude-sonnet-4-5,Reformists,Security Function,41.7
google/gemini-2.5-pro,Hardline-Principlists,Economic Costs,62.5
google/gemini-2.5-pro,Hardline-Principlists,Negotiation Readiness,3.1
google/gemini-2.5-pro,Hardline-Principlists,Nuclear Sovereignty,100.0
google/gemini-2.5-pro,Hardline-Principlists,Security Function,100.0
google/gemini-2.5-pro,IRGC/Securocrats,Economic Costs,12.5
google/gemini-2.5-pro,IRGC/Securocrats,Negotiation Readiness,0.0
google/gemini-2.5-pro,IRGC/Securocrats,Nuclear Sovereignty,100.0
google/gemini-2.5-pro,IRGC/Securocrats,Security Function,100.0
google/gemini-2.5-pro,Pragmatic Moderates,Economic Costs,85.7
google/gemini-2.5-pro,Pragmatic Moderates,Negotiation Readiness,83.3
google/gemini-2.5-pro,Pragmatic Moderates,Nuclear Sovereignty,95.8
google/gemini-2.5-pro,Pragmatic Moderates,Security Function,100.0
google/gemini-2.5-pro,Reformists,Economic Costs,100.0
google/gemini-2.5-pro,Reformists,Negotiation Readiness,85.0
google/gemini-2.5-pro,Reformists,Nuclear Sovereignty,80.0
google/gemini-2.5-pro,Reformists,Security Function,87.5
openai/gpt-5.4,Hardline-Principlists,Economic Costs,16.7
openai/gpt-5.4,Hardline-Principlists,Negotiation Readiness,29.2
openai/gpt-5.4,Hardline-Principlists,Nuclear Sovereignty,100.0
openai/gpt-5.4,Hardline-Principlists,Security Function,100.0
openai/gpt-5.4,IRGC/Securocrats,Economic Costs,54.2
openai/gpt-5.4,IRGC/Securocrats,Negotiation Readiness,45.8
openai/gpt-5.4,IRGC/Securocrats,Nuclear Sovereignty,100.0
openai/gpt-5.4,IRGC/Securocrats,Security Function,100.0
openai/gpt-5.4,Pragmatic Moderates,Economic Costs,91.7
openai/gpt-5.4,Pragmatic Moderates,Negotiation Readiness,100.0
openai/gpt-5.4,Pragmatic Moderates,Nuclear Sovereignty,83.3
openai/gpt-5.4,Pragmatic Moderates,Security Function,70.8
openai/gpt-5.4,Reformists,Economic Costs,93.2
openai/gpt-5.4,Reformists,Negotiation Readiness,100.0
openai/gpt-5.4,Reformists,Nuclear Sovereignty,81.2
openai/gpt-5.4,Reformists,Security Function,50.0
x-ai/grok-3,Hardline-Principlists,Economic Costs,39.6
x-ai/grok-3,Hardline-Principlists,Negotiation Readiness,25.0
x-ai/grok-3,Hardline-Principlists,Nuclear Sovereignty,93.8
x-ai/grok-3,Hardline-Principlists,Security Function,93.8
x-ai/grok-3,IRGC/Securocrats,Economic Costs,50.0
x-ai/grok-3,IRGC/Securocrats,Negotiation Readiness,39.6
x-ai/grok-3,IRGC/Securocrats,Nuclear Sovereignty,93.8
x-ai/grok-3,IRGC/Securocrats,Security Function,93.8
x-ai/grok-3,Pragmatic Moderates,Economic Costs,77.3
x-ai/grok-3,Pragmatic Moderates,Negotiation Readiness,83.3
x-ai/grok-3,Pragmatic Moderates,Nuclear Sovereignty,75.0
x-ai/grok-3,Pragmatic Moderates,Security Function,72.9
x-ai/grok-3,Reformists,Economic Costs,79.2
x-ai/grok-3,Reformists,Negotiation Readiness,79.2
x-ai/grok-3,Reformists,Nuclear Sovereignty,72.9
x-ai/grok-3,Reformists,Security Function,70.8
