Model,Group,Axis Name,mean,sd,n
x-ai/grok-4.3,Hardline-Principlists,Nuclear Sovereignty,97.48,15.74,119
x-ai/grok-4.3,Hardline-Principlists,Security Function,92.44,26.55,119
x-ai/grok-4.3,IRGC/Securocrats,Economic Costs,10.42,23.05,120
x-ai/grok-4.3,IRGC/Securocrats,Negotiation Readiness,12.29,29.7,120
x-ai/grok-4.3,IRGC/Securocrats,Nuclear Sovereignty,91.88,27.15,120
x-ai/grok-4.3,IRGC/Securocrats,Security Function,94.75,22.04,119
x-ai/grok-4.3,Pragmatic Moderates,Economic Costs,94.38,19.84,120
x-ai/grok-4.3,Pragmatic Moderates,Negotiation Readiness,92.5,25.23,120
x-ai/grok-4.3,Pragmatic Moderates,Nuclear Sovereignty,38.75,37.22,120
x-ai/grok-4.3,Pragmatic Moderates,Security Function,26.88,31.95,120
x-ai/grok-4.3,Reformists,Economic Costs,93.7,19.32,119
x-ai/grok-4.3,Reformists,Negotiation Readiness,92.08,23.37,120
x-ai/grok-4.3,Reformists,Nuclear Sovereignty,41.04,37.21,120
x-ai/grok-4.3,Reformists,Security Function,18.91,27.42,119
