Model,Group,Axis Name,mean,sd,n
x-ai/grok-4.3,Hardline-Principlists,Nuclear Sovereignty,97.71,14.49,120
x-ai/grok-4.3,Hardline-Principlists,Security Function,94.12,23.63,119
x-ai/grok-4.3,IRGC/Securocrats,Economic Costs,10.0,23.68,120
x-ai/grok-4.3,IRGC/Securocrats,Negotiation Readiness,23.54,38.11,120
x-ai/grok-4.3,IRGC/Securocrats,Nuclear Sovereignty,92.08,25.92,120
x-ai/grok-4.3,IRGC/Securocrats,Security Function,97.29,15.81,120
x-ai/grok-4.3,Pragmatic Moderates,Economic Costs,94.17,19.91,120
x-ai/grok-4.3,Pragmatic Moderates,Negotiation Readiness,94.79,20.47,120
x-ai/grok-4.3,Pragmatic Moderates,Nuclear Sovereignty,55.0,42.46,120
x-ai/grok-4.3,Pragmatic Moderates,Security Function,24.16,31.21,119
x-ai/grok-4.3,Reformists,Economic Costs,90.0,23.68,120
x-ai/grok-4.3,Reformists,Negotiation Readiness,90.83,26.12,120
x-ai/grok-4.3,Reformists,Nuclear Sovereignty,52.5,42.68,120
x-ai/grok-4.3,Reformists,Security Function,12.29,24.47,120
